"","year","shelf_biomass","slope_biomass","total_biomass","var_shelf","stdev_shelf","var_slope","stdev_slope","var_tot","stdev_tot"
"1",1994,40.3995958160956,NA,36.241443729383,73.8506162005902,8.59363812366976,0,0,59.4307297787037,7.70913288111599
"2",1995,15.522653837928,0.011978600254446,13.9262084947754,9.12727664014746,3.02113830205561,0.000123504194401686,0.0111132440988978,7.34510876342818,2.71018611232295
"3",1996,34.8941062946111,0.00344398107647995,31.3029644186816,37.0645001519983,6.08806210152281,1.10030736320252e-05,0.00331708812545358,29.8273787660932,5.46144475080479
"4",1997,39.020006296428,NA,35.0038492699167,30.3657667469563,5.51051419986886,0,0,24.4366231577508,4.94334129488859
"5",1998,38.3066719191543,NA,34.3639352516706,74.411925644329,8.62623473158069,0,0,59.8824393457907,7.73837446404545
"6",1999,50.4956736029254,NA,45.2983767904086,97.0536860123982,9.85158291912514,0,0,78.1032262718464,8.83760297093315
"7",2000,47.5015976128292,NA,42.6124678270982,90.4418822791755,9.51009370506808,0,0,72.78242678181,8.53126173445698
"8",2001,72.4899228452157,NA,65.028855033632,353.974687234587,18.81421503105,0,0,284.858476040336,16.8777509177122
"9",2002,61.171387110146,0.0127036987848465,54.8765937610941,66.7235401945632,8.16844784488235,0.000144645345577286,0.0120268593397149,53.6952703221058,7.32770566562998
"10",2003,62.8467411644866,NA,56.3782034814418,68.8485568720077,8.29750305043678,0,0,55.4053600311232,7.44347768392727
"11",2004,47.8509883446441,NA,42.9258973129841,63.9664703818631,7.99790412432302,0,0,51.4765375259195,7.17471515294646
"12",2005,66.0403395883927,0.0440380976374711,59.247631562097,74.5647036620648,8.63508561984563,0.00165012790495336,0.0406217663938111,60.0054037912097,7.74631549778407
"13",2006,65.6609379252295,NA,58.902747390548,105.232327114762,10.2582809044577,0,0,84.6849263891668,9.20244132766772
"14",2007,31.6812841633345,NA,28.4204694152568,27.105090138327,5.20625490523917,0,0,21.81261810007,4.67039806655385
"15",2008,46.5562944829666,NA,41.7644605761327,39.027249523159,6.24717932535629,0,0,31.4068864925513,5.60418473040917
"16",2009,27.8827953402938,NA,25.0129422814811,28.5252284306052,5.34090146235682,0,0,22.9554637449531,4.79118604783336
"17",2010,62.6038340910489,NA,56.1602977609605,107.984148377403,10.3915421558786,0,0,86.8994339217117,9.32198658665157
"18",2011,110.351124063041,0.021196979646703,98.9953516286575,219.205058465017,14.8055752493788,0.000247162327010465,0.0157213971074604,176.403630184234,13.2817028345101
"19",2012,167.468033393683,NA,150.231287865745,544.80985515279,23.3411622493995,0,0,438.431646858776,20.9387594393454
"20",2013,124.039751533048,0.0113963337495628,111.274060353088,270.616198225604,16.4504163541718,6.9018756203362e-05,0.00830775277697658,217.77635762441,14.7572476303818
"21",2014,161.51395052703,0.0107462959205904,144.891138537985,713.086380089636,26.7036772765407,0.000117581569179501,0.0108435035472628,573.850920090661,23.9551856617865
"22",2015,187.092355325558,0.0543171557283435,167.841355581629,384.532671058521,19.6095046102272,0.000650703039984322,0.025508881590229,309.449791343199,17.5911850465851
"23",2016,126.83499471236,0.0359485276438073,113.784128538197,188.64800072848,13.7349190288287,0.000618152960855963,0.0248626820929674,151.813070966753,12.3212447003845
"24",2017,71.7094331666826,NA,64.3286977128834,187.77334033987,13.7030412806745,0,0,151.109188027252,12.2926477224092
